id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-129	103.6666667	1.273333333	90.86666667	13.8	1.133333333	22.16	31.66	106.6633333	0	0.0025	0.0836	0.0033	1.79	100.65	5.29	32.72	1.55	8.18	0	1.87	0	3.03	1.88	2.21	0
UC-130	103.3333333	1.07	91.23333333	10.8	1.333333333	25.91	25.82666667	152.7766667	0	0.0007	0.0317	0.0002	0	41.76	0	27.91	0	16.9	0	0	0	0	0	0	0
UC-131	88	0.32	36.8	12	0.5	2.16	5.17	18.26	0.0006	0.0012	0.0628	0.0007	0	35.93	0.84	33.54	0.51	8.16	0	0	0	1.54	0	2.89	1.38
UC-132	107	1.93	128.4	15.6	1.1	32.88	19.94	132.46	0	0	0.0036	0.003	0	17.68	0	0	0.89	11.12	2.47	0	8.98	0	0	3.38	0
UC-133	107	0.87	89.1	12.8	0.9	19.5	14.53	77.96	0	0.0005	0.0187	0.0013	0	24.57	0	9.71	0.45	28.62	0	0	0	0	0	2.35	0
UC-134	107	1.41	76.9	14.8	1.2	27.27	31.18	135.66	0	0	0.0029	0.0156	0	9.34	0	4.14	0	4.37	0	0	0	0	0	0	0
UC-135	96	0.98	101.7	16.8	1	25.97	66.29	173.98																	
UC-136	100.3333333	5.86	61.1	14.8	0.6	4.75	15.60333333	43.94333333	0.0036	0.0436	1.2675	0.1021													
UC-137	105	0.77	128.6	13.2	1.7	91.63	74.85	273.57																	
UC-139	107	1.74	79.7	14.2	0.7	19.54	39.19	143.36																	
UC-140	94	1.26	79.4	15	1	12.72		75.65																	
